C_n [nF], U_2 [mV], T[K]
51.87   , 84.4    , 301.05
17.711  , 105.1   , 301.05
28.78   , 97.1    , 301.15
63.62   , 82.4    , 301.15
5.902   , 157.8   , 301.25
48.29   , 85.5    , 301.25
16.708  , 106.9   , 301.25
12.574  , 119.6   , 301.25
35.71   , 91.8    , 301.25
62.64   , 82.6    , 301.35
4.573   , 174.8   , 301.35
48.54   , 85.6    , 301.35
15.780  , 109.9   , 301.25
10.029  , 129.1   , 301.35
37.05   , 90.4    , 301.35
63.92   , 82.8    , 301.35
4.976   , 169.8   , 301.25
52.08   , 84.8    , 301.25
16.257  , 108.5   , 301.35
9.819   , 130.3   , 301.35
36.95   , 90.4    , 301.35
74.97   , 81.1    , 301.35
7.292   , 146.0   , 301.25
49.74   , 85.1    , 301.25
16.299  , 108.2   , 301.25
30.04   , 94.4    , 301.25
59.62   , 83.0    , 301.25
4.755   , 173.8   , 301.25
